"","gutenberg_id","text"
"294",16,""
"295",16,"""I think he comes in by the window,"" she said."
"296",16,""
"297",16,"""My love, it is three floors up."""
"298",16,""
"299",16,"""Were not the leaves at the foot of the window, mother?"""
"300",16,""
"301",16,"It was quite true; the leaves had been found very near the window."
"302",16,""
"303",16,"Mrs. Darling did not know what to think, for it all seemed so natural to"
"304",16,"Wendy that you could not dismiss it by saying she had been dreaming."
"305",16,""
"306",16,"""My child,"" the mother cried, ""why did you not tell me of this before?"""
"307",16,""
"308",16,"""I forgot,"" said Wendy lightly. She was in a hurry to get her breakfast."
"309",16,""
"310",16,"Oh, surely she must have been dreaming."
"311",16,""
"312",16,"But, on the other hand, there were the leaves. Mrs. Darling examined"
"313",16,"them very carefully; they were skeleton leaves, but she was sure they"
"314",16,"did not come from any tree that grew in England. She crawled about the"
"315",16,"floor, peering at it with a candle for marks of a strange foot. She"
"316",16,"rattled the poker up the chimney and tapped the walls. She let down a"
"317",16,"tape from the window to the pavement, and it was a sheer drop of thirty"
"318",16,"feet, without so much as a spout to climb up by."
"319",16,""
"320",16,"Certainly Wendy had been dreaming."
"321",16,""
"322",16,"But Wendy had not been dreaming, as the very next night showed, the"
"323",16,"night on which the extraordinary adventures of these children may be"
"324",16,"said to have begun."
"325",16,""
"326",16,"On the night we speak of all the children were once more in bed. It"
"327",16,"happened to be Nana's evening off, and Mrs. Darling had bathed them and"
"328",16,"sung to them till one by one they had let go her hand and slid away into"
"329",16,"the land of sleep."
"330",16,""
"331",16,"All were looking so safe and cosy that she smiled at her fears now and"
"332",16,"sat down tranquilly by the fire to sew."
"333",16,""
"334",16,"It was something for Michael, who on his birthday was getting into"
"335",16,"shirts. The fire was warm, however, and the nursery dimly lit by three"
"336",16,"night-lights, and presently the sewing lay on Mrs. Darling's lap. Then"
"337",16,"her head nodded, oh, so gracefully. She was asleep. Look at the four of"
"338",16,"them, Wendy and Michael over there, John here, and Mrs. Darling by the"
"339",16,"fire. There should have been a fourth night-light."
"340",16,""
"341",16,"While she slept she had a dream. She dreamt that the Neverland had come"
"342",16,"too near and that a strange boy had broken through from it. He did not"
"343",16,"alarm her, for she thought she had seen him before in the faces of many"
"344",16,"women who have no children. Perhaps he is to be found in the faces of"
"345",16,"some mothers also. But in her dream he had rent the film that obscures"
"346",16,"the Neverland, and she saw Wendy and John and Michael peeping through"
"347",16,"the gap."
"348",16,""
"349",16,"The dream by itself would have been a trifle, but while she was dreaming"
"350",16,"the window of the nursery blew open, and a boy did drop on the floor."
"351",16,"He was accompanied by a strange light, no bigger than your fist, which"
"352",16,"darted about the room like a living thing and I think it must have been"
"353",16,"this light that wakened Mrs. Darling."
"354",16,""
"355",16,"She started up with a cry, and saw the boy, and somehow she knew at once"
"356",16,"that he was Peter Pan. If you or I or Wendy had been there we should"
"357",16,"have seen that he was very like Mrs. Darling's kiss. He was a lovely"
"358",16,"boy, clad in skeleton leaves and the juices that ooze out of trees but"
"359",16,"the most entrancing thing about him was that he had all his first teeth."
"360",16,"When he saw she was a grown-up, he gnashed the little pearls at her."
"361",16,""
"362",16,""
"363",16,""
"364",16,""
"365",16,"Chapter 2 THE SHADOW"
"366",16,""
"367",16,"Mrs. Darling screamed, and, as if in answer to a bell, the door opened,"
"368",16,"and Nana entered, returned from her evening out. She growled and sprang"
"369",16,"at the boy, who leapt lightly through the window. Again Mrs. Darling"
"370",16,"screamed, this time in distress for him, for she thought he was killed,"
"371",16,"and she ran down into the street to look for his little body, but it"
"372",16,"was not there; and she looked up, and in the black night she could see"
"373",16,"nothing but what she thought was a shooting star."
"374",16,""
"375",16,"She returned to the nursery, and found Nana with something in her mouth,"
"376",16,"which proved to be the boy's shadow. As he leapt at the window Nana had"
"377",16,"closed it quickly, too late to catch him, but his shadow had not had"
"378",16,"time to get out; slam went the window and snapped it off."
"379",16,""
"380",16,"You may be sure Mrs. Darling examined the shadow carefully, but it was"
"381",16,"quite the ordinary kind."
"382",16,""
"383",16,"Nana had no doubt of what was the best thing to do with this shadow. She"
"384",16,"hung it out at the window, meaning ""He is sure to come back for it; let"
"385",16,"us put it where he can get it easily without disturbing the children."""
"386",16,""
"387",16,"But unfortunately Mrs. Darling could not leave it hanging out at the"
"388",16,"window, it looked so like the washing and lowered the whole tone of the"
"389",16,"house. She thought of showing it to Mr. Darling, but he was totting up"
"390",16,"winter great-coats for John and Michael, with a wet towel around his"
"391",16,"head to keep his brain clear, and it seemed a shame to trouble him;"
"392",16,"besides, she knew exactly what he would say: ""It all comes of having a"
"393",16,"dog for a nurse."""
"394",16,""
"395",16,"She decided to roll the shadow up and put it away carefully in a drawer,"
"396",16,"until a fitting opportunity came for telling her husband. Ah me!"
"397",16,""
"398",16,"The opportunity came a week later, on that never-to-be-forgotten Friday."
